tenure,avgOrderValue,totalSpent
365,25.50,9307.50
1095,50.20,54969.00
730,30.00,21900.00
180,15.75,2835.00
545,75.00,40875.00
920,100.00,92000.00
270,40.00,10800.00
60,10.00,600.00
800,120.00,96000.00
1100,60.00,66000.00
395,45.00,17775.00
45,8.00,360.00
1050,110.00,115500.00
500,80.00,40000.00
290,90.00,26100.00
985,130.00,128050.00
560,20.00,11200.00
620,105.00,65100.00
120,55.00,6600.00
480,70.00,33600.00
700,35.00,24500.00
95,12.00,1140.00
1020,115.00,117300.00
520,85.00,44200.00
310,95.00,29450.00
880,125.00,110000.00
580,22.00,12760.00
640,108.00,69120.00
130,60.00,7800.00
500,72.00,36000.00
720,38.00,27360.00
100,11.00,1100.00
1040,118.00,122720.00
540,88.00,47520.00
330,100.00,33000.00
890,128.00,113920.00
600,24.00,14400.00
660,110.00,72600.00
140,65.00,9100.00
520,75.00,39000.00
740,40.00,29600.00
105,13.00,1365.00
1060,120.00,127200.00
550,90.00,49500.00
350,102.00,35700.00
900,132.00,118800.00
610,26.00,15860.00
680,112.00,76160.00
150,70.00,10500.00
540,78.00,42120.00
760,42.00,31920.00
110,14.00,1540.00
1080,122.00,131760.00
570,92.00,52440.00
370,105.00,38850.00
920,135.00,124200.00
620,28.00,17360.00
700,115.00,80500.00
160,75.00,12000.00
560,80.00,44800.00
780,44.00,34320.00
115,15.00,1725.00
1100,125.00,137500.00
590,95.00,56050.00
390,108.00,42120.00
940,138.00,129720.00
630,30.00,18900.00
720,118.00,84960.00
170,80.00,13600.00
580,82.00,47560.00
800,46.00,36800.00
120,16.00,1920.00
1120,128.00,143360.00
610,98.00,59780.00
410,110.00,45100.00
960,140.00,134400.00
640,32.00,20480.00
740,120.00,88800.00
180,85.00,15300.00
600,85.00,51000.00
820,48.00,39360.00
125,17.00,2125.00
1140,130.00,148200.00
630,100.00,63000.00
430,112.00,48160.00
980,142.00,138760.00
650,34.00,22100.00
760,122.00,92720.00
190,90.00,17100.00
620,88.00,54560.00
840,50.00,42000.00
130,18.00,2340.00
1160,132.00,152120.00
650,104.00,67600.00
450,115.00,51750.00
1000,145.00,145000.00
660,36.00,23760.00
780,125.00,97500.00
200,95.00,19000.00
640,90.00,57600.00
860,52.00,44720.00
135,19.00,2565.00
1180,135.00,159300.00
670,106.00,71020.00
470,118.00,55460.00
